"Qty","Value","Device","Package","Parts","Description","MF","MPN","OC_FARNELL","OC_NEWARK",
"4","","MA05-1","MA05-1","SV5, SV6, SV7, SV8","PIN HEADER","","","unknown","unknown",
"1","BQ25570RGR","BQ25570RGR","QFN20","U1","TEXAS INSTRUMENTS","","","","",
