"Qty","Value","Device","Package","Parts","Description","",
"2","","M04PTH","1X04","JP1, JP2","Header 4","",
"1","100 nF","CAP0805-CAP","0805-CAP","C1","Capacitor","",
"1","10uF","CAP0805-CAP","0805-CAP","C2","Capacitor","",
"1","LPS25HLPS25H","LPS25HLPS25H","LPS25H","U$1","","",
